No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
974,L202500978,KEVENT MANAGEMENT SDN BHD,JERAI NIGHT HALF MARATHON,25/01/2025,26/01/2025
975,L202501231,KEVENT MANAGEMENT SDN BHD,JERAI CYCLING FEST 2025,28/11/2025,29/11/2025
976,L202400936,TRIPLE 9 EVENT MANAGEMENT RESOURCES,JENGKA INTERNATIONAL MUAY THAI FIGHT 2024,26/10/2024,26/10/2024
977,L202400876,REACCH PRODUCTIONS SDN. BHD,Jemputan Tekken 8 International Championship 2024,28/09/2024,29/09/2024
978,L202501037,GoMonsta Asia Sdn Bhd,JD Inter Uni Pickleball Tournament Powered by Monsta,12/07/2025,13/07/2025
979,L202400836,VISIDIKARI HOLDINGS (M) SDN BHD,JAWBREAKER FIGHT TOURNAMENT,27/09/2024,29/09/2024
980,L202400786,Lumen Sports Sdn Bhd,Janda Baik Ultra,08/06/2024,09/06/2024
981,L201900132,ULTRA RUNNING,janda baik ultra,14/09/2019,15/09/2019
982,L202501041,Lumen Sports Sdn Bhd,Janda Baik Ultra,17/05/2025,18/05/2025
983,L202300706,Lumen Sports Sdn Bhd,Janda Baik Ultra,17/06/2023,18/06/2023
984,L202200526,ULTRA RUNNING,Janda Baik Ultra,10/09/2022,11/09/2022
985,L202300693,WENG FATT OTOMOBIL SDN BHD,ISUZU FUN RIDE 40KM,21/05/2023,21/05/2023
986,L201900101,World Endurance Malaysia Sdn.Bhd,IRONMAN Clinic,08/09/2019,08/09/2019
987,L201900241,Oriental Global Event Management,Ipoh Countdown Run 2019,31/12/2019,31/12/2019
988,L201900129,Oriental Global Event Management,Ipoh City Fun Walk 2019,29/09/2019,29/09/2019
989,L202000323,IJ EVENT MANAGEMENT,Ipoh 5KM Jomrun Balloon Run,08/03/2020,08/03/2020
990,L202501212,MANAGEMENT AND SCIENCE UNIVERSITY,INTERNATIONAL SONGKET RUN 5.0,15/11/2025,15/11/2025
991,L202300641,MSU HOLDINGS SDN BHD,INTERNATIONAL SONGKET RUN 3.0,25/02/2023,25/02/2023
992,L202501019,Palm Resort Berhad,International junior development tour (IJDT) ranking series 3,18/10/2025,19/10/2025
993,L202501059,Palm Resort Berhad,International junior development tour (IJDT) ranking series 2,03/09/2025,05/09/2025
994,L202501020,Palm Resort Berhad,International junior development tour (IJDT) ranking series 1,19/04/2025,20/04/2025
995,L202300025,EASTERN PACIFIC INDUSTRIAL CORPORATION (EPIC) BERHAD,INTERNATIONAL GOLDEN MOONSOON RIDE 2023,16/12/2023,16/12/2023
996,L202200574,LADANG RAKYAT TRENGGANU SDN BHD,INTERNATIONAL GOLDEN MONSOON RIDE 2022,17/12/2022,17/12/2022
997,L202501169,HYPE HAUS,International Endurance Festival 2025,13/09/2025,14/09/2025
998,L201900066,Actife Style Concept Sdn Bhd,International Electronic Elite Run Penang Chapter,18/08/2019,18/08/2019
999,L201900196,VERNIER EVENT MANAGEMENT AND SERVICES,INGRESS AUTO JOY RUN 2019,09/11/2019,09/11/2019
1000,L202400847,Nizra Group Berhad,Infiniti IAME X30,17/08/2024,18/08/2024
1001,L202300661,EXPERTISE EVENT MANAGEMENT,INANAM TRAIL RUN 2023,05/03/2023,05/03/2023
1002,L202200610,EGEN EVENT SDN. BHD,Impian Run for Charity 2022,17/12/2022,17/12/2022
1003,L202200455,IM SPORT CENTRE,IM SPORT CENTRE BADMINTON CHAMPIONSHIP 2022,18/06/2022,19/06/2022
1004,L202400808,Wave Art Sdn. Bhd,IJN Run For Your Heart 2024,13/07/2024,13/07/2024
1005,L202300692,GoSportz Sdn Bhd,IJN Ride 4 Your Heart 2023,27/05/2023,27/05/2023
1006,L202400890,GoSportz Sdn Bhd,IJN KHK LAND Ride 4 Your Heart 2025,19/01/2025,19/01/2025
1007,L201900019,PACERS SPORT EVENTS SDN BHD,IJM RIMBAYU RUN WITH ME 2019,28/07/2019,28/07/2019
1008,L202501100,Score Sports Management Sdn Bhd,IJM Land Half Marathon 2025,10/08/2025,10/08/2025
1009,L201900049,EC Pixels,IJM Land Half Marathon 2019,04/08/2019,04/08/2019
1010,L202300019,SCORE SPORTS MANAGEMENT SDN BHD,IJM Halm Marathon 2023,06/08/2023,06/08/2023
1011,L202501119,EC Pixels Asia Sdn Bhd,IJM ALLIANZ DUO HIGHWAY CHALLENGE,03/08/2025,03/08/2025
1012,L201900224,IIUM MEDICAL SPECIALIST CENTRE,IIUM MEDICAL SPECIALIST CENTRE ANNUAL BEACH RUN 2020,21/03/2020,21/03/2020
1013,L202400884,TWO WHEEL MOTOR RACING SDN BHD,IDEMITSU FIM ASIA ROAD RACING CHAMPIONSHIP 2024,13/09/2024,15/09/2024
1014,L202200598,GALA MODA SDN BHD (THE MARATHON COMPANY),ICE WATCH LIGHT UP THE NIGHT RUN,04/12/2022,04/12/2022
1015,L201900116,GALA MODA SDN BHD (THE MARATHON COMPANY),ICE WATCH LIGHT UP THE DAY RUN 2019,08/12/2019,08/12/2019
1016,L202400739,MST GOLF MANAGEMENT SDN BHD,IASAS GOLF CHAMPIONSHIPS,04/04/2024,06/04/2024
1017,L202500984,MST GOLF ARENA SDN BHD,IASAS Golf Championship 2025,10/04/2025,12/04/2025
1018,L201900216,Pretasi Kod SDN. BHD.,I Love Penang Walk 2019,08/12/2019,08/12/2019
1019,L202300089,TLM EVENT SDN BHD,I Love Malaysia Walk,20/08/2023,20/08/2023
1020,L201900024,Tritiq Sdn Bhd,I Love Malaysia Run,08/09/2019,08/09/2019
1021,L201900078,JomRun Sdn. Bhd.,I Love Kota Kinabalu Run,07/09/2019,07/09/2019
1022,L202200460,TLM EVENT SDN BHD,I LOVE KOMTAR WALK,29/05/2022,29/05/2022
1023,L201900023,TLM Event Sdn Bhd,I Love George Town Run 2019,25/08/2019,25/08/2019
1024,L201900064,GE GIFT & AWARD SDN BHD,HUNTMER MERDEKA CHARITY RUN 2019,31/08/2019,31/08/2019
1025,L202300126,YAYASAN HUMINISTIK,HUMINISTIK CHARITY RUN 2023 SUBANG JAYA,05/11/2023,05/11/2023
1026,L202300124,YAYASAN HUMINISTIK,HUMINISTIK CHARITY RUN 2023 SIMPANG AMPAT,05/11/2023,05/11/2023
1027,L202300125,YAYASAN HUMINISTIK,HUMINISTIK CHARITY RUN 2023 KLANG,05/11/2023,05/11/2023
1028,L201900136,ultra running,hulu langat run 2019,07/07/2019,07/07/2019
1029,L201900180,LV Channel Events Sdn Bhd,Huggies D.A.D.S. Stroller Fun Run 2019,03/11/2019,03/11/2019
1030,L202200444,HOOPS STATION SDN BHD,HSBL-MEN'OPEN 2022,08/05/2022,26/06/2022
1031,L202200471,MST GOLF MANAGEMENT SDN BHD,HSBC Road to Champion Tournament 2022,17/08/2022,21/09/2022
1032,L202501211,IO ESPORTS SDN BHD,HONOR OF KINGS NATION CLASH 2025,23/10/2025,26/10/2025
1033,L202400812,Big Machinez Production Sdn Bhd,HONOR OF KINGS INVITATIONAL SEASON 2,29/06/2024,07/07/2024
1034,L202200612,HONG LEONG MANUFACTURING GROUP SDN BHD,HLMG Sports Tournament - 5KM Running,18/03/2023,18/03/2023
1035,L201900058,Hong Leong Assurance Bhd,HLA Fit Charity Run 2019,25/08/2019,30/11/2019
1036,L202000308,PACERS SPORT EVENTS SDN BHD,HITC MOVE RUN 2020,22/03/2020,22/03/2020
1037,L202200582,Transview Golf Sdn Bhd,Himel Invitational Golf 2022,01/12/2022,01/12/2022
1038,L202400755,Endurance Nature Sdn Bhd,Himalaya Sports Titi Ultra Ride,27/04/2024,27/04/2024
1039,L202501082,Endurance Nature Sdn Bhd,Himalaya Sports Penang Half Marathon,29/06/2025,29/06/2025
1040,L202300159,LUMEN SPORTS SDN BHD,HIGHLAND ULTRA,25/11/2023,26/11/2023
1041,L202200607,ULTRA RUNNING,Highland Ultra,03/12/2022,04/12/2022
1042,L202200485,KARC ENTERPRISE,HIGH5 KAR ULTRA 2022,30/07/2022,31/07/2022
1043,L202601290,THE BONGCIT HUB,HIDDEN VILLAGE TRAIL RUN,11/04/2026,11/04/2026
1044,L202501005,THE BONGCIT HUB,HIDDEN VILLAGE TRAIL,28/06/2025,28/06/2025
1045,L202300013,MST GOLF MANAGEMENT SDN BHD,Hibiscus Petroleum Golf Invitation 2023,26/08/2023,26/08/2023
1046,L202200425,HEROSIFU CHESS ACADEMY,HEROSIFU CHESS ACADEMY RAPID OPEN CHESS TOURNAMENT 2022,26/03/2022,27/03/2022
1047,L202000283,CORPORATE HERO CENTURY SDN BHD,HERO RUN V2.0 2020,15/02/2020,15/02/2020
1048,L201900041,IJ EVENT MANAGEMENT,Hat Run Penang 2019,14/07/2019,14/07/2019
1049,L202400858,Oriental Global Event Management,Hat Run 2024 - Taiping,08/09/2024,08/09/2024
1050,L202300094,AKAMAI ENTERPRISE,HARI SUKAN PERPADUAN DAERAH ROMPIN,16/09/2023,16/09/2023
1051,L202300673,PUNCAK NIAGA MAJU SDN BHD,HARI BUAH PINGGANG SEDUNIA TAHUN 2023 (FUN RUN 5KM),11/03/2023,11/03/2023
1052,L201900122,PACERS SPORT EVENTS SDN BHD,HARI 100PLUS AKTIFKAN MALAYSIAKU 2019,25/10/2019,25/10/2019
1053,L201900121,PACERS SPORT EVENTS SDN BHD,HARI 100PLUS AKTIFKAN MALAYSIAKU 2019,16/11/2019,16/11/2019
1054,L201900124,MSAV (Sabah) Sdn Bhd,Hari 100Plus 2019,12/10/2019,12/10/2019
1055,L202000352,NAVI J PRODUCTION,Happy Panda Run Ipoh,29/03/2020,29/03/2020
1056,L202000360,CORPORATE HERO CENTURY SDN BHD,HAPPY PANDA 5KM FUN RUN - NIBONG TEBAL,11/04/2020,11/04/2020
1057,L202300138,EC PIXEL,HALLOWEEN FUN RUN 2023,28/10/2023,28/10/2023
1058,L201900142,Fanaz Events & Management,Halal Fun RUn 2019,29/09/2019,29/09/2019
1059,L202501091,Yayasan Kecemerlangan Sukan Malaysia,Hainan Junior Golf Tour Malaysia Leg 2025,23/07/2025,25/07/2025
1060,L202501053,HAIER ELECTRICAL APPLIANCES (MALAYSIA) SDN. BHD,HAIER CUP 2025,10/05/2025,10/08/2025
1061,L202601265,Mountain Goat Events,HABU HIGHLAND ULTRA TRAIL 2026,17/01/2026,17/01/2026
1062,L202400810,Mountain Goat Events,Habu Highland Trail 2024,29/06/2024,29/06/2024
1063,L202501086,Lumen Sports Sdn Bhd,Gunung Nuang Ultra 2025,05/07/2025,06/07/2025
1064,L202400760,Lumen Sports Sdn Bhd,Gunung Nuang Ultra 2024,11/05/2024,12/05/2024
1065,L202300642,ULTRA RUNNING,GUNUNG NUANG ULTRA,12/02/2023,12/02/2023
1066,L202501085,Malatra Events Enterprise,GUNUNG DATUK ULTRA,25/07/2025,27/07/2025
1067,L202501138,Mountain Goat Events,Gunung Arong Challenge 2025,22/08/2025,23/08/2025
1068,L202200520,Heyjom Sdn Bhd,Guardian Wellness Warriors Run,17/09/2022,17/09/2022
1069,L202501164,Mantra Communication Sdn Bhd,GUARDIAN OWN YOUR WELLBEING FUN RUN 2025,21/09/2025,21/09/2025
1070,L202300091,SCORE SPORTS MANAGEMENT SDN BHD,GUARDIAN FUN RUN 2023,23/09/2023,23/09/2023
1071,L202000339,Oriental Global Event Management,Gua Musang Unicorn 5KM Fun Run (Gua Musang),07/03/2020,07/03/2020
1072,L202200586,CHECKPOINT SPOT SDN BHD,GSC x AIR SELANGOR HYDRO RUN,26/11/2022,26/11/2022
1073,L202400918,Score Sports Management Sdn Bhd,GSC Popcorn Run 2024,01/12/2024,01/12/2024
1074,L202400859,COOL NINJA EMPIRE,GRIP MASTER 2024,07/09/2024,07/09/2024
1075,L201900079,Original Bootcamp Sdn Bhd,Great Eastern Live Great Run,17/08/2019,17/08/2019
1076,L202501220,RUNBIKEAWAY SDN BHD,Great Eastern Cervical Cancer Awareness Walk,04/11/2025,04/11/2025
1077,L202300098,HUMBURGER ASIA SDN BHD,GREAT EASTERN RUN 2023,18/11/2023,18/11/2023
1078,L202501092,Linkedup Asia Sdn Bhd,Grand Rally Pickleball Open 2025,11/07/2025,13/07/2025
1079,L202400863,GEMPAK PRIMA SDN BHD,GOODNITE NIGHT RUN 2024,07/09/2024,07/09/2024
1080,L202400792,Hijo Outdoor & Sports Events Management,Gombak Adventure Race,22/06/2024,22/06/2024
1081,L202501034,MST GOLF ARENA SDN BHD,GOLF AMAL KLINIK WAQAF AN-NUR 2025,12/07/2025,12/07/2025
1082,L202200551,ec pixels,Go Hyper Splash Dash,25/09/2022,25/09/2022
1083,L202200567,GBC INTERNATIONAL SDN BHD,Global Classic The King of the Night 2022,07/12/2022,07/12/2022
1084,L202300007,GBC INTERNATIONAL SDM NHD,Global Classic Regional,15/07/2023,15/07/2023
1085,L202400947,Score Sports Management Sdn Bhd,Gleneagles KL Healthy Steps Fun Run 2024,01/12/2024,01/12/2024
1086,L202300639,Leonian (Malaysia) Sdn Bhd,GL FRIENDS Golf Tournament 2023,09/03/2023,09/03/2023
1087,L202300078,RIMBA ADVENTURES SDN BHD,GIVI RIMBA RAID TAMAN NEGARA 2023,31/08/2023,03/09/2023
1088,L202200401,Cyclomotion Sdn Bhd,Giro Di Tulip,12/02/2022,12/02/2022
1089,L202200435,Cyclomotion Sdn Bhd,Giro Di Petaling 2022,27/03/2022,27/03/2022
1090,L202501209,RHYTHMIC EXCELLENCE ACADEMY (M) SDN. BHD,GIMNASTIK BERIRAMA,18/11/2025,23/11/2025
1091,L202300629,FR Exhibitions Sdn. Bhd.,GFNY KUALA LUMPUR,12/02/2023,12/02/2023
1092,L202300162,FR EXHIBITIONS SDN BHD,GFNY KOTA KINABALU 2023,10/12/2023,12/12/2023
1093,L202200475,TLM EVENT SDN BHD,GEORGETOWN DISCOVERY WALK,07/07/2022,07/07/2022
1094,L201900026,TLM Event Sdn Bhd,George Town Heritage Walk,07/07/2019,07/07/2019
1095,L202400816,TLM EVENT SDN BHD,GEORGE TOWN HERITAGE DAY CITY WALK,07/07/2024,07/07/2024
1096,L201900195,Grace Covenant Community Care Bhd,GC Rainbow Run 2019,17/11/2019,17/11/2019
1097,L202501181,GB ROPE SKIPPING ACADEMY PLT,GBRSA CUP 2025 KL JUMP ROPE CHAMPIONSHIPS,01/11/2025,01/11/2025
1098,L202400932,GB ROPE SKIPPING ACADEMY PLT,GBRSA CUP 2024 KL JUMP ROPE COMPETITION,09/11/2024,09/11/2024
1099,L202200487,Cyclomotion Sdn Bhd,Gateh Pedal+ 2022,02/07/2022,03/07/2022
1100,L202501198,Score Sports Management Sdn Bhd,Garmin Run Asia Series 2025 Malaysia,02/11/2025,02/11/2025
1101,L202400926,Score Sports Management Sdn Bhd,"Garmin Run Asia Series 2024, Malaysia",27/10/2024,27/10/2024
1102,L202300123,SCORE SPORTS MANAGEMENT SDN BHD,GARMIN RUN ASIA SERIES 2023 MALAYSIA,22/10/2023,22/10/2023
1103,L202200534,Heyjom Sdn Bhd,GARMIN RUN ASIA 2022 SERIES - MALAYSIA MARATHON,11/09/2022,11/09/2022
1104,L202200418,Transview Golf Sdn Bhd,Gamuda Land Friends Golf Tournament 2022,23/03/2022,23/03/2022
1105,L202400840,Flash Vision Sdn. Bhd,FV Major 2024,27/07/2024,28/07/2024
1106,L202400873,MZ Pictures & Events,FUTSAL CLAN 2024,07/09/2024,07/09/2024
1107,L202300133,FUSIPIM SDN BHD,FUSIPIM PADDYTHON (LARIAN),28/10/2023,28/10/2023
1108,L202501237,AR FURY HOLDINGS (M) SDN BHD,FURY REDEMPTION VOLUME 01,28/12/2025,28/12/2025
1109,L202501051,AR Fury Holdings (M) Sdn Bhd,Fury Fighting Championship,02/05/2025,02/05/2025
1110,L201900070,megaklinik zahran,FUNRUN ZAHRAN 2019,22/09/2019,22/09/2019
1111,L202300061,PERDANA SPECIALIST HOSPITAL SDN BHD,FUN WALK SEMPENA SAMBUTAN AMBANG MERDEKA PERINGKAT KPJ PERDANA SPECIALIST HOSPITAL,26/08/2023,26/08/2023
1112,L202400916,MOVE-ON SDN BHD,FUN RUN TIME 2024,19/10/2024,19/10/2024
1113,L202300036,INFINITI INDAH SDN BHD,FUN RUN & FUN RIDE,29/07/2023,29/07/2023
1114,L201900055,WESTPORTS MALAYSIA,FUN RIDE 2019,27/07/2019,27/07/2019
1115,L201900022,Wecreate Event PLT,FTW Water Fest 2019,30/06/2019,30/06/2019
1116,L202501259,IGNATIUS ASIA SDN BHD,FROM LEGACY TO LEADERSHIP: 70 YEARS OF MCA YOUTH NATIONAL YOUTH RUN 2025,21/12/2025,21/12/2025
1117,L202501054,Sing Chew Coldstorage Sdn Bhd,Fro7en Challenge Cup 2025,14/06/2025,15/06/2025
1118,L202200491,Cyclomotion Sdn Bhd,FRASER'S HILL ATTACK CYCLING RACE 2022,23/07/2022,23/07/2022
1119,L202400742,ELPIS EVENT MANAGEMENT,FRASER ENDURANCE 2024,27/07/2024,28/07/2024
1120,L201900183,JHK EVENTS,FP URBAN VERTICAL CHALLENGE 2019,17/11/2019,17/11/2019
1121,L202000310,AVTA SPORTS SDN BHD,FOUR FEATHERS ULTRA MARATHON,29/02/2020,01/03/2020
1122,L202500981,Strive Motion,Forest Park 3 Hour Trail,15/02/2025,15/02/2025
1123,L201900038,TEN SENSES (M) SDN BHD,FMM MAFMAG ACTIVRUN,-,21/07/2019
1124,L202300030,M SPORTS SDN BHD,FIT CONSUMER FUN RUN 2023,30/07/2023,30/07/2023
1125,L202500974,EMNES EVENTS SDN BHD,FIRE CAGE FIGHTING CHAMPIONSHIP,22/02/2025,22/02/2025
1126,L202300676,TWO WHEELS MOTOR RACING SDN BHD,FIM ASIA ROAD RACING CHAMPIONSHIP 2023,12/05/2023,14/05/2023
1127,L202400954,PN FITNESS ENTERPRISE,FIF Mortal Battle 2024,21/12/2024,21/12/2024
1128,L202501076,ACTIVE FITNESS GYM,FIF MALAYSIA NATIONAL CHAMPIONSHIP 2025,19/07/2025,19/07/2025
1129,L202300687,Malatra Events,FGV KOBOI MALAYA TRAIL CLASSIC,14/05/2023,14/05/2023
1130,L202400782,EC Pixels,FGA RUN 2024,22/05/2024,22/05/2024
1131,L202300062,RUNBIKEAWAY SERVICES,FESTIVAL KITA 2023,19/08/2023,19/08/2023
1132,L201900163,BDB LEISURE SDN. BHD.,Fantasia Aquapark Fun Run 2019,02/11/2019,02/11/2019
1133,L202501021,SEPANG INTERNATIONAL CIRCUIT SDN BHD,FANATEC GT WORLD CHALLENGE ASIA 2025,11/04/2025,13/04/2025
1134,L202000287,SPEEDEER SIGNATURE VENTURES,Fairy Run,09/02/2020,09/02/2020
1135,L202300647,BD PROJECT SOLUTION,EXTRA JOSS BUKIT DINDING V4 TRAIL EDITION,04/02/2023,05/02/2023
1136,L201900011,Dignity & Services,Everyone Can Run 2019,16/06/2019,16/06/2019
1137,L202400922,MST GOLF MANAGEMENT SDN BHD,ETIQA & FRIENDS GOLF TOURNAMENT 2024,23/11/2024,23/11/2024
1138,L202300141,MST GOLF MANAGEMENT SDN BHD,ETIQA & FRIENDS GOLF TOURNAMENT 2023,02/12/2023,02/12/2023
1139,L202100388,ES TAN ENTERPRISE,EST JERSEY CHAMPIONSHIP 2021,15/12/2021,27/02/2022
1140,L202300170,ETERNITY ESPORTS SDN BHD,ESPORTS DASH RUNNING FOR GLORY,03/12/2023,03/12/2023
1141,L202300130,Impact Integrated,ESL ONE KUALA LUMPUR 2023,02/11/2023,26/11/2023
1142,L202200531,Cyclomotion Sdn Bhd,EPF CYCLE 2022,11/09/2022,11/09/2022
1143,L201900155,Oriental Global Event Managementb,Enviro Fun Run Perak 2019,19/10/2019,19/10/2019
1144,L201900130,At Event Quest Sdn Bhd,Ensure Gold Strength Run,10/11/2019,10/11/2019
1145,L202300009,AT EVENT QUEST SDN BHD,Ensure Gold Run,09/07/2023,09/07/2023
1146,L202200500,RISE INTERNATIONAL SPORTS EXHIBITION SDN. BHD.,Enduride Challenge & Fun Ride With Stars 2022,31/07/2022,31/07/2022
1147,L202200529,Hype Club Sdn Bhd,ELF 2022,03/09/2022,04/09/2022
1148,L201900198,adham bike centre,ELDORADO 5.0 SUNGAI LEMBING MOUNTAIN BIKE CHALLENGE,27/10/2019,27/10/2019
1149,L202400819,TEN SENSES (M) SDN BHD,ECOTRAIL PUTRAJAYA 2024,26/07/2024,27/07/2024
1150,L201900111,TEN SENSES (M) SDN BHD,ECOTRAIL PUTRAJAYA,26/10/2019,26/10/2019
1151,L202501077,TEN SENSES (M) SDN BHD,ECOTRAIL PUTRAJAYA,05/07/2025,05/07/2025
1152,L202200585,CHECKPOINT SPOT SDN BHD,ECOBROWN'S WALKATHON 2022,27/11/2022,27/11/2022
1153,L201900126,RED ADVENTURE SDN BHD,ECO ALAMI RIDE 2019,29/09/2019,29/09/2019
1154,L202501233,ELPIS EVENT MANAGEMENT,EASTCOAST Half Marathon,06/12/2025,07/12/2025
1155,L202300085,XS ELITE PERFORMANCE SERVICES,DURIAN FUN RUN 2023,10/09/2023,10/09/2023
1156,L202400862,EC Pixels Asia Sdn. Bhd,Duo Highway Challenge 2024,08/09/2024,08/09/2024
1157,L202501094,Vivace Dance Academy Sdn. Bhd,Dream Cup 2025: Vivace 4th Rhythmic Gymnastics International Competition,21/08/2025,24/08/2025
1158,L202400832,VIVACE DANCE ACADEMY SDN BHD,Dream Cup 2024: Vivace 3rd Rhythmic Gymnastics International Competition,26/08/2024,01/09/2024
1159,L202000338,SN SQUAD RUN MANAGMENT,DREAM CATCHER 2020 FUN RUN,22/03/2020,22/03/2020
1160,L201900010,PACERS SPORT EVENTS SDN BHD,DRAGON BACK RUN 2019,16/06/2019,16/06/2019
1161,L202501029,BRANDSTORM SERVICES,DR. KO KONFIDENT FAMILY FUN RUN 2025,25/05/2025,25/05/2025
1162,L201900109,TEN SENSES (M) SDN BHD,DPULZE RUN FOR MALAYSIA,01/09/2019,01/09/2019
1163,L201900150,Code Entertainment,DPulze Friendship Ride / Run 2019,20/10/2019,20/10/2019
1164,L202400866,Cyclomotion Sdn Bhd,Domestique By Petronas Le Tour De Langkawi,28/09/2024,28/09/2024
1165,L201900208,DARUL MAKMUR MEDICAL CENTRE,DMMC MONSOON RIDE,08/12/2019,08/12/2019
1166,L201900072,PACERS SPORT EVENTS SDN BHD,DKSH FANTREE FUN RUN 2019,14/09/2019,14/09/2019
1167,L202200620,KARC ENTERPRISE,DIMALA CHRISTMAS RUN SEASON 3,02/01/2023,02/01/2023
1168,L202501087,VSPN Malaysia Sdn. Bhd,Dew Challenge | Honor of Kings Finals 2025,11/07/2025,13/07/2025
1169,L201900119,Sportec Resources Sdn Bhd,Deuter MTB Jamboree 2019,13/09/2019,13/09/2019
1170,L201900160,Endurance Nature Sdn. Bhd.,Desa Parkcity Charity Run,20/10/2019,20/10/2019
1171,L202501204,MST GOLF SDN BHD,DENZA GOLF CUP 2025,20/11/2025,20/11/2025
1172,L202300657,IJ EVENT MANAGEMENT,De Garden Hotel Fun Run,05/03/2023,05/03/2023
1173,L202400915,Studio Produksi Jalanan,DASHING PUBG CUP,25/10/2024,27/10/2024
1174,L202200481,BDB LEISURE SDN BHD,DARULAMAN PARK FUN RUN 2022,25/06/2022,26/06/2022
1175,L202300650,Kazoku Events,DAMANSARA AVENUE FAMILY RUN,04/03/2023,04/03/2023
1176,L202501023,Linkedup Asia Sdn Bhd,Daikin x 91PICKLEBALL TOURNAMENT 2025,19/04/2025,20/04/2025
1177,L202400855,Cyclomotion Sdn Bhd,CYCLOMOTION FIRE X RIDE 2024,17/08/2024,17/08/2024
1178,L202300093,SHANGRILA TANJUNG ARU KOTA KINABALU,CYCLE FOR CHARITY,24/09/2023,24/09/2023
1179,L201900127,JomRun Sdn Bhd,Cyberjaya Malaysia Day Half Marathon,15/09/2020,15/09/2020
1180,L202400934,ROJAM MARKETING,CROSS BEAT,26/10/2024,27/10/2024
1181,L202200540,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,CREST LINK - SPORTEXCEL JUNIOR GOLF CHAMPIONSHIP 2022,14/09/2022,14/09/2022
1182,L202501035,Actife Style Concept Sdn Bhd,CRCNT 3-State Half Marathon 2025,18/05/2025,18/05/2025
1183,L202501112,Hamburger Asia Sdn Bhd,Coway Run 2025,31/08/2025,31/08/2025
1184,L202400851,HAMBURGER ASIA SDN BHD,Coway Run 2024,22/09/2024,22/09/2024
1185,L202300011,HUMBURGER ASIA SDN BHD,COWAY RUN 2023,10/09/2023,10/09/2023
1186,L202200563,Heyjom Sdn Bhd,Coway Run 2022,06/11/2022,06/11/2022
1187,L202400877,RFD GROUP SDN. BHD,COPA DA MALASIA IN PENANG III,21/09/2024,21/09/2024
1188,L201900120,JomRun Sdn Bhd,Constant Health Fun RUn - Puncak Jalil,07/09/2019,07/09/2019
1189,L202200412,Black Toenail Services,Conquer the Trails @ Kiara,27/03/2022,27/03/2022
1190,L201900161,PACERS SPORT EVENTS SDN BHD,COLUMBIA ASIA HOSPITAL SEREMBAN MAGICAL 5K RUN 2019,03/11/2019,03/11/2019
1191,L201900005,RED Adventure Sdn Bhd,COLUMBIA AISA RUN & RIDE 2019,23/06/2019,23/06/2019
1192,L202400801,LV CHANNEL EVENTS SDN BHD,COLORECTAL CANCER AWARENESS FUN RUN 2024,07/07/2024,07/07/2024
1193,L202200507,MST GOLF MANAGEMENT SDN BHD,COCA-COLA CHARITY GOLF DAY 2022,01/09/2022,01/09/2022
1194,L202400799,MST GOLF MANAGEMENT SDN BHD,Cobra PUMA Golf Day 2024,01/08/2024,01/08/2024
1195,L202200624,TLM EVENT SDN BHD,CNY RUN (OBS),15/01/2023,15/01/2023
1196,L202300643,IJ EVENT MANAGEMENT,City Plaza Fun Run - Alor Setar,25/02/2023,25/02/2023
1197,L201900025,Tritiq Sdn Bhd,City of Dreams Run,04/08/2019,04/08/2019
1198,L201900212,Tritiq Sdn Bhd,City of Dreams Hike,01/12/2019,01/12/2019
1199,L202601279,MST GOLF SDN. BHD,CIMB PREFERRED GOLF SERIES 2026,08/04/2026,20/05/2026
1200,L202400843,Flagstick Ventures Sdn. Bhd,CIMB Preferred Golf Series 2024,11/09/2024,13/11/2024
1201,L202300090,TEAM SPORTS MARKETING SDN BHD,CIMB PREFERRED GOLF SERIES 2023,20/09/2023,16/11/2023
1202,L202200503,MST GOLF MANAGEMENT SDN BHD,CIMB GOLF INVITATIONAL 2022,03/08/2022,28/09/2022
1203,L201900042,PACERS SPORT EVENTS SDN BHD,CICM RESPONSIBLE CARE RUN 2019,18/08/2019,18/08/2019
1204,L201900214,Oriental Global Event Management,Christmas Fun Run 2019,14/12/2019,14/12/2019
1205,L201900213,IJ EVENT MANAGEMENT,Christmas Fun Run 2019,15/12/2019,15/12/2019
1206,L201900226,Oriental Global Event Management,Christmas Fun Run 2019,21/12/2019,21/12/2019
1207,L201900225,IJ EVENT MANAGEMENT,Christmas Fun Run 2019,22/12/2019,22/12/2019
1208,L202200595,Oriental Global Event Management,Christmas Fun Run - Taiping,04/12/2022,04/12/2022
1209,L202200606,Oriental Global Event Management,Christmas Fun Run - Ipoh,25/12/2022,25/12/2022
1210,L202200596,Oriental Global Event Management,Christmas Fun Run - Alor Setar,10/12/2022,10/12/2022
1211,L202300167,TLM Event Sdn Bhd,Chrismas Run OBs 2023,24/12/2023,24/12/2023
1212,L201900202,THOUSAND SPORTS,CHOCOLATE MILK RUN 2019,24/11/2019,24/11/2019
1213,L202000315,SBH ULTRON SDN BHD,CHINESE NEW YEAR RUN 2020,08/02/2020,08/02/2020
1214,L202300627,Oriental Global Event Management,Chinese New Year Fun Run - Butterworth,08/01/2023,08/01/2023
